phase,lookback_n,max_width_pct,atr_mult,retest_max_bars,retest_band_pct,tp1_rr,require_strong_breakout,max_hold_1h,n,n_decided,wr_pct,e_r_before,e_r_after,h1_er,h2_er,h1_wr,h2_wr,q1_er,q2_er,q3_er,q4_er,q1_n,q2_n,q3_n,q4_n,concentration_pos_pct,concentration_abs_pct,top_quarter,cluster_n,cluster_trade_n,pass_er,pass_wr_better,pass_wf,pass_concentration,pass_dedup,pass_all,reject_reason
combo,20,4,1,10,0.005,1.5,false,120,29,29,55.1724,0.379310,0.263132,0.058854,0.482001,46.6667,64.2857,0.134442,0.008462,1.377754,-0.015640,6,9,5,9,88.6406,87.0637,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.005,1.5,false,80,29,29,55.1724,0.379310,0.263132,0.058854,0.482001,46.6667,64.2857,0.134442,0.008462,1.377754,-0.015640,6,9,5,9,88.6406,87.0637,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
combo,20,4,1,5,0.005,1.5,false,120,29,29,55.1724,0.379310,0.263132,0.058854,0.482001,46.6667,64.2857,0.134442,0.008462,1.377754,-0.015640,6,9,5,9,88.6406,87.0637,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
ofat,20,5,1,10,0.005,1.2,false,80,40,40,55.0000,0.210000,0.106146,0.263526,-0.067800,61.9048,47.3684,0.222411,0.300904,0.269464,-0.313083,10,11,8,11,43.0434,30.9324,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
combo,20,5,1,10,0.005,1.2,false,120,40,40,55.0000,0.210000,0.106146,0.263526,-0.067800,61.9048,47.3684,0.222411,0.300904,0.269464,-0.313083,10,11,8,11,43.0434,30.9324,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
combo,20,5,1,5,0.005,1.2,false,80,40,40,55.0000,0.210000,0.106146,0.263526,-0.067800,61.9048,47.3684,0.222411,0.300904,0.269464,-0.313083,10,11,8,11,43.0434,30.9324,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
combo,20,5,1,5,0.005,1.2,false,120,40,40,55.0000,0.210000,0.106146,0.263526,-0.067800,61.9048,47.3684,0.222411,0.300904,0.269464,-0.313083,10,11,8,11,43.0434,30.9324,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
ofat,20,7,1,10,0.005,1.5,false,80,53,53,52.8302,0.320755,0.226519,0.117962,0.357693,48.2759,58.3333,0.006668,0.254940,0.721872,0.049541,16,13,11,13,66.1411,66.1411,3,0,0,true,true,true,false,true,false,"concentration>50%_posQ"
ofat,30,5,1,10,0.005,1.5,false,80,21,21,52.3810,0.309524,0.211912,0.501236,-0.106344,63.6364,40.0000,0.420037,0.568902,0.554406,-0.389523,5,6,3,7,47.5617,34.4668,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
combo,30,5,1,10,0.005,1.5,false,120,21,21,52.3810,0.309524,0.211912,0.501236,-0.106344,63.6364,40.0000,0.420037,0.568902,0.554406,-0.389523,5,6,3,7,47.5617,34.4668,2,0,0,true,true,false,true,true,false,"walk_forward_fail"
