timestamp,timestamp_iso,symbol,oi,ls_top_ratio,ls_global_ratio,funding_rate,source,status,error,collected_at
1785582000000,2026-08-01T11:00:00.000Z,SOLUSDT,8566408.62,3.0866,,,forward_archive,partial,missing:funding,1785657835003
1785585600000,2026-08-01T12:00:00.000Z,SOLUSDT,8591638.97,3.1085,,,forward_archive,partial,missing:funding,1785657835003
1785589200000,2026-08-01T13:00:00.000Z,SOLUSDT,8598521.6,3.1271,,,api_heal_24h,partial,missing:funding,1785657835003
1785592800000,2026-08-01T14:00:00.000Z,SOLUSDT,8589176.68,3.1237,,,forward_archive,partial,missing:funding,1785657835003
1785596400000,2026-08-01T15:00:00.000Z,SOLUSDT,8594932.34,3.1237,,,forward_archive,partial,missing:funding,1785657835003
1785600000000,2026-08-01T16:00:00.000Z,SOLUSDT,8622778.17,3.1511,,,forward_archive,partial,missing:funding,1785657835003
1785603600000,2026-08-01T17:00:00.000Z,SOLUSDT,8669101.87,3.1597,,,forward_archive,partial,missing:funding,1785657835003
1785607200000,2026-08-01T18:00:00.000Z,SOLUSDT,8690714.11,3.2535,,,forward_archive,partial,missing:funding,1785657835003
1785610800000,2026-08-01T19:00:00.000Z,SOLUSDT,8615080.84,3.3253,,,api_heal_24h,partial,missing:funding,1785657835003
1785614400000,2026-08-01T20:00:00.000Z,SOLUSDT,8649075.85,3.3011,,,forward_archive,partial,missing:funding,1785657835003
1785618000000,2026-08-01T21:00:00.000Z,SOLUSDT,8643785.22,3.2974,,,forward_archive,partial,missing:funding,1785657835003
1785621600000,2026-08-01T22:00:00.000Z,SOLUSDT,8617795.2,3.2955,,,forward_archive,partial,missing:funding,1785657835003
1785625200000,2026-08-01T23:00:00.000Z,SOLUSDT,8596432.43,3.2717,,,forward_archive,partial,missing:funding,1785657835003
1785628800000,2026-08-02T00:00:00.000Z,SOLUSDT,8574428.37,3.2445,,,api_heal_24h,partial,missing:funding,1785657835003
1785632400000,2026-08-02T01:00:00.000Z,SOLUSDT,8571477.93,3.2159,,,forward_archive,partial,missing:funding,1785657835003
1785636000000,2026-08-02T02:00:00.000Z,SOLUSDT,8602808.34,3.1736,,,api_heal_24h,partial,missing:funding,1785657835003
1785639600000,2026-08-02T03:00:00.000Z,SOLUSDT,8512196.72,3.0866,,,api_heal_24h,partial,missing:funding,1785657835003
1785643200000,2026-08-02T04:00:00.000Z,SOLUSDT,8466919.99,3.0437,,,api_heal_24h,partial,missing:funding,1785657835003
1785646800000,2026-08-02T05:00:00.000Z,SOLUSDT,8426213.93,3.0209,,,forward_archive,partial,missing:funding,1785657835003
